name,link,price,cashback
"
Смартфон Realme C33 2023 4/128Гб Sandy Gold (RMX3627) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/b8c75057-fdf2-11ed-8116-fa6f16a70c4e-df62d13a-1673-11ee-8117-b9090afac2f4/,"
10 790 ",540
"
Смартфон Xiaomi Redmi 13C 4/128GB Midnight Black (23108RN04Y) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/1a6c0820-a337-11ee-8120-dd7cbfe4cc23/,"
10 990 ",550
"
Смартфон Xiaomi Redmi 13C 4/128GB Navy Blue (23108RN04Y) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/727f54c8-b603-11ee-8120-dd7cbfe4cc23/,"
10 990 ",550
"
Смартфон Xiaomi Redmi 13C 4/128GB White (23108RN04Y) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/dec94354-b603-11ee-8120-dd7cbfe4cc23/,"
10 990 ",550
"
Смартфон iTel P55 8/256 Moonlit Black (A666LN) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/5ae43f33-c048-11ee-8121-ccae40f1d1a6/,"
10 990 ",550
"
Смартфон iTel P55 8/256 Aurora Blue (A666LN) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/a762eb28-c048-11ee-8121-ccae40f1d1a6/,"
10 990 ",550
"
Смартфон Vivo Y03 4/128Гб Space Black (V2332) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/ff9de6a9-ecec-11ee-80ea-bfd57f4940da/,"
10 990 ",550
"
Смартфон Vivo Y03 4/128Гб Gem Green (V2332) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/4c11fb4a-ecee-11ee-80ea-bfd57f4940da/,"
10 990 ",550
"
Смартфон Tecno Spark 20c 4/256Gb Gravity Black (BG7N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/24451539-d7b2-11ee-80e9-899d15001346/,"
11 290 ",565
"
Смартфон Tecno Spark 20c 4/256Gb Alpenglow Gold (BG7N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/7963e361-d7b2-11ee-80e9-899d15001346/,"
11 290 ",565
"
Смартфон Tecno Spark 20c 4/256Gb Magic Skin Green (BG7N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/c6496430-d7b2-11ee-80e9-899d15001346/,"
11 290 ",565
"
Смартфон Tecno Spark 20c 4/256Gb Mystery White (BG7N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/fac14cb9-d7b2-11ee-80e9-899d15001346/,"
11 290 ",565
"
Смартфон Samsung Galaxy A05s 4/64Гб Black (SM-A057FZKUCAU) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/02d07bc8-8f8a-11ee-8120-dd7cbfe4cc23/,"
11 490 ",575
"
Смартфон Samsung Galaxy A05s 4/64Гб Silver (SM-A057FZSUCAU) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/39a2cdd1-8f8a-11ee-8120-dd7cbfe4cc23/,"
11 490 ",575
"
Смартфон Tecno Spark 20c 8/128Gb Gravity Black (BG7N) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/8bba539c-9e78-11ee-8120-dd7cbfe4cc23/,"
11 490 ",575
